wall_time,wall_iso,rx_millis,sender,seq,raw_rssi,filt_rssi,baseline,delta,snr
1777229277.295906,2026-04-26T14:47:57.295906,298066,S1,598,-19.0,-19.0,-19.5,-0.5,12.2
1777229277.707979,2026-04-26T14:47:57.707979,298482,S2,602,-18.0,-18.0,-19.9,-1.9,12.2
1777229277.7680068,2026-04-26T14:47:57.768007,298541,S1,599,-19.0,-19.0,-19.5,-0.5,12.0
1777229278.714937,2026-04-26T14:47:58.714937,299489,S2,604,-18.0,-18.0,-19.8,-1.8,12.2
1777229278.786825,2026-04-26T14:47:58.786825,299560,S1,601,-19.0,-19.0,-19.5,-0.5,12.0
1777229279.225867,2026-04-26T14:47:59.225867,299995,S2,605,-18.0,-18.0,-19.8,-1.8,12.5
1777229279.31174,2026-04-26T14:47:59.311740,300085,S1,602,-19.0,-19.0,-19.4,-0.4,11.8
1777229279.685772,2026-04-26T14:47:59.685772,300460,S2,606,-18.0,-18.0,-19.8,-1.8,12.2
1777229280.316628,2026-04-26T14:48:00.316628,301090,S1,604,-19.0,-19.0,-19.4,-0.4,12.5
1777229280.66369,2026-04-26T14:48:00.663690,301438,S2,608,-18.0,-18.0,-19.7,-1.7,12.2
1777229280.7726872,2026-04-26T14:48:00.772687,301546,S1,605,-19.0,-19.0,-19.4,-0.4,12.2
1777229281.719552,2026-04-26T14:48:01.719552,302493,S1,607,-19.0,-19.0,-19.4,-0.4,12.5
1777229282.158587,2026-04-26T14:48:02.158587,302932,S2,611,-18.0,-18.0,-19.6,-1.6,12.2
1777229282.790519,2026-04-26T14:48:02.790519,303564,S1,609,-19.0,-19.0,-19.4,-0.4,12.2
1777229283.190304,2026-04-26T14:48:03.190304,303964,S2,613,-18.0,-18.0,-19.5,-1.5,12.2
1777229283.2754428,2026-04-26T14:48:03.275443,304049,S1,610,-19.0,-19.0,-19.4,-0.4,12.0
1777229283.660332,2026-04-26T14:48:03.660332,304434,S2,614,-18.0,-18.0,-19.5,-1.5,12.2
1777229283.771323,2026-04-26T14:48:03.771323,304545,S1,611,-19.0,-19.0,-19.4,-0.4,12.5
1777229284.1452868,2026-04-26T14:48:04.145287,304919,S2,615,-18.0,-18.0,-19.5,-1.5,12.0
1777229284.847284,2026-04-26T14:48:04.847284,305621,S1,613,-19.0,-19.0,-19.4,-0.4,12.0
1777229285.1882088,2026-04-26T14:48:05.188209,305962,S2,617,-18.0,-18.0,-19.4,-1.4,12.5
1777229285.300153,2026-04-26T14:48:05.300153,306074,S1,614,-19.0,-19.0,-19.3,-0.3,12.0
1777229286.738092,2026-04-26T14:48:06.738092,307512,S2,620,-18.0,-18.0,-19.3,-1.3,1.2
1777229287.233131,2026-04-26T14:48:07.233131,308004,S1,618,-19.0,-19.0,-19.3,-0.3,-1.0
1777229288.264986,2026-04-26T14:48:08.264986,309036,S1,620,-19.0,-19.0,-19.3,-0.3,12.0
1777229288.654984,2026-04-26T14:48:08.654984,309426,S2,624,-18.0,-18.0,-19.3,-1.3,12.5
1777229288.775077,2026-04-26T14:48:08.775077,309542,S1,621,-19.0,-19.0,-19.3,-0.3,12.2
1777229289.258904,2026-04-26T14:48:09.258904,310033,S1,622,-19.0,-19.0,-19.3,-0.3,12.2
1777229289.666941,2026-04-26T14:48:09.666941,310441,S2,626,-18.0,-18.0,-19.2,-1.2,12.5
1777229289.7198951,2026-04-26T14:48:09.719895,310494,S1,623,-19.0,-19.0,-19.3,-0.3,12.0
1777229290.653845,2026-04-26T14:48:10.653845,311428,S2,628,-18.0,-18.0,-19.2,-1.2,12.0
1777229290.7478771,2026-04-26T14:48:10.747877,311522,S1,625,-19.0,-19.0,-19.3,-0.3,12.5
1777229291.152801,2026-04-26T14:48:11.152801,311927,S2,629,-18.0,-18.0,-19.2,-1.2,12.2
