wall_time,wall_iso,rx_millis,sender,seq,raw_rssi,filt_rssi,baseline,delta,snr
1777229588.4832242,2026-04-26T14:53:08.483224,609258,S1,1221,-25.0,-25.0,-24.9,0.1,12.2
1777229588.7835798,2026-04-26T14:53:08.783580,609557,S2,1225,-29.0,-29.0,-28.3,0.7,12.8
1777229590.097315,2026-04-26T14:53:10.097315,610872,S1,1224,-25.0,-25.0,-24.9,0.1,12.8
1777229590.284205,2026-04-26T14:53:10.284205,611058,S2,1228,-27.0,-27.0,-28.3,-1.3,12.0
1777229590.5622349,2026-04-26T14:53:10.562235,611337,S1,1225,-29.0,-26.0,-25.0,1.0,12.8
1777229593.742198,2026-04-26T14:53:13.742198,614516,S2,1235,-28.0,-28.0,-28.2,-0.2,12.0
1777229594.1562161,2026-04-26T14:53:14.156216,614931,S1,1232,-25.0,-25.0,-25.0,0.0,6.5
1777229595.2532322,2026-04-26T14:53:15.253232,616024,S2,1238,-28.0,-28.0,-28.2,-0.2,12.8
1777229595.656203,2026-04-26T14:53:15.656203,616430,S1,1235,-25.0,-25.0,-25.0,0.0,12.8
1777229595.749175,2026-04-26T14:53:15.749175,616523,S2,1239,-31.0,-28.0,-28.2,-0.2,11.8
1777229596.731118,2026-04-26T14:53:16.731118,617505,S2,1241,-29.0,-29.0,-28.3,0.7,12.5
1777229597.145994,2026-04-26T14:53:17.145994,617920,S1,1238,-25.0,-25.0,-25.0,0.0,12.5
1777229600.714966,2026-04-26T14:53:20.714966,621489,S1,1245,-25.0,-25.0,-25.0,0.0,7.5
1777229601.18993,2026-04-26T14:53:21.189930,621964,S1,1246,-25.0,-25.0,-25.0,0.0,4.5
1777229603.621887,2026-04-26T14:53:23.621887,624396,S1,1251,-25.0,-25.0,-25.0,0.0,12.8
1777229603.824961,2026-04-26T14:53:23.824961,624600,S2,1255,-29.0,-28.0,-28.3,-0.3,13.2
1777229605.331933,2026-04-26T14:53:25.331933,626107,S2,1258,-28.0,-28.0,-28.3,-0.3,12.2
1777229605.613718,2026-04-26T14:53:25.613718,626388,S1,1255,-26.0,-26.0,-25.0,1.0,12.8
1777229605.785813,2026-04-26T14:53:25.785813,626561,S2,1259,-28.0,-28.0,-28.3,-0.3,12.2
1777229606.2459252,2026-04-26T14:53:26.245925,627021,S2,1260,-28.0,-28.0,-28.3,-0.3,12.2
1777229606.5618298,2026-04-26T14:53:26.561830,627336,S1,1257,-25.0,-25.0,-25.0,-0.0,12.0
1777229606.72479,2026-04-26T14:53:26.724790,627500,S2,1261,-27.0,-28.0,-28.3,-0.3,12.0
1777229610.198251,2026-04-26T14:53:30.198251,630972,S2,1268,-27.0,-27.0,-28.2,-1.2,12.0
1777229610.590709,2026-04-26T14:53:30.590709,631365,S1,1265,-25.0,-24.0,-25.0,-1.0,12.0
1777229610.708205,2026-04-26T14:53:30.708205,631476,S2,1269,-28.0,-28.0,-28.2,-0.2,12.5
1777229611.534621,2026-04-26T14:53:31.534621,632309,S1,1267,-24.0,-25.0,-25.0,0.0,12.0
1777229611.724649,2026-04-26T14:53:31.724649,632499,S2,1271,-29.0,-28.0,-28.2,-0.2,12.5
1777229612.001645,2026-04-26T14:53:32.001645,632776,S1,1268,-24.0,-24.0,-25.0,-1.0,12.8
1777229613.551656,2026-04-26T14:53:33.551656,634326,S1,1271,-25.0,-24.0,-24.9,-0.9,12.2
1777229613.688606,2026-04-26T14:53:33.688606,634463,S2,1275,-28.0,-28.0,-28.1,-0.1,12.5
1777229614.65545,2026-04-26T14:53:34.655450,635430,S2,1277,-29.0,-29.0,-28.2,0.8,12.2
1777229615.0566049,2026-04-26T14:53:35.056605,635831,S1,1274,-25.0,-25.0,-24.9,0.1,12.0
1777229615.11568,2026-04-26T14:53:35.115680,635890,S2,1278,-30.0,-29.0,-28.2,0.8,12.5
1777229615.6214468,2026-04-26T14:53:35.621447,636396,S2,1279,-29.0,-29.0,-28.2,0.8,12.0
